ID,Boarding Area,Terminal,Language,Gender,Where,Country,Bay Area,Airport Rating,Art Rating,Restaurant Rating,Moving Walkways Rating,Arrival Booth Rating,Departure Booth Rating,Signage Rating,Directional Signs Rating,Parking Rating,Airtrain Rating,Parking Shuttle Rating,Rental Car Center Rating,Retail Rating,Form Of Transportation,Mode Of Transportation Rating,Car Arrivals,Green Rental,Question Green Rental,Carbon Offset,Purpose Of Travel,Ease Of Finding Way Rating,Security Rating,Airport Cleanliness,Boarding Area Cleanliness,Garage Cleanliness,Air Train Cleanliness,Rental Car Center Cleanliness,Restaurant Cleanliness,Restroom Cleanliness,Safety Rating,Aware Of Website,Used Website,Website Rating,Previous Departures This Year,Overall Satisfaction,Overall Cleanliness,Airport Wi Fi Use,Restaurant Spending,Retail Shop Spending
551,B,1,English,Male,Brunswick,Germany,,Good,Fair,Good,,,,Fair,Good,,,,,Fair,Shared Ride Van,Fair,,No,,No,Vacation,Very Good,Good,Very Good,Good,,,,Good,Fair,Good,Yes,Yes,Good,1 Trip,66.66666667,75.01877374,No,21.41404551,76.36149557
87,C,1,English,Male,San Francisco,US,San Francisco,Good,Very Good,,Good,,,Good,Good,,Fair,,,,Private Car,,Curb Drop,No,,No,Vacation,Very Good,Good,Good,Fair,,,,,Good,Good,Yes,Yes,Good,2 Trips,78.125,63.52464683,No,34.16128922,35.06751632
1085,B,1,English,Male,San Francisco,US,San Francisco,Good,Very Good,Fair,Fair,,,Good,Good,Good,,,,,Private Car,,Curb Drop,Yes,No,No,Vacation,Good,Good,Fair,Good,,,,,Good,Good,Yes,Yes,Good,2 Trips,72.22222222,64.05316311,No,12.36212937,34.59134163
748,C,1,English,Male,San Francisco,US,San Francisco,Good,Fair,Fair,Good,,,Good,Good,,Fair,,,,Private Car,,Curb Drop,No,,No,Vacation,Very Good,Good,Good,Good,,,,,Good,Good,Yes,Yes,Good,2 Trips,69.44444444,82.07954667,No,11.38148474,43.49691496
1072,C,1,English,Male,San Francisco,US,San Francisco,Good,Good,,Good,,,Very Good,Good,Good,Fair,,Fair,,Private Car,,Off-Airport Parking,Yes,No,No,Visiting Friends and Relatives,Good,Very Good,Good,Very Good,,,,,Good,Good,Yes,Yes,Good,3+ Trips,75,83.75778624,No,20.06156457,26.99692286
1381,B,1,English,Female,Fremont,US,,Very Good,Fair,Good,,,,Good,,Good,,,,,BART,Fair,,Yes,No,No,Business,Very Good,Very Good,Good,Good,,Very Good,,,Good,Good,Yes,Yes,Good,3+ Trips,78.125,80.84725483,No,39.71390252,0
1231,C,1,English,Female,Minneapolis,US,,Very Good,Fair,Good,,,Good,Fair,Fair,,,,Good,Very Good,Private Car,,International Garage A,No,,Yes,Visiting Friends and Relatives,Good,Very Good,Fair,Fair,Good,,,Fair,Good,Good,Yes,Yes,Good,0 Trips,75,75.91190815,No,8.72143635,37.40070337
414,B,1,English,Male,San Francisco,US,,Very Good,Fair,Good,,,Good,Fair,Fair,,,,Good,Very Good,Private Car,,International Garage A,No,,Yes,Visiting Friends and Relatives,Good,Very Good,Fair,Fair,Good,,,Fair,Good,Good,Yes,Yes,Good,0 Trips,75,50.2334102,Yes,33.74798893,24.17157479
552,B,1,English,Male,Berkeley,US,Alameda,Very Good,,Fair,Very Good,,,,Good,,Very Good,,,Fair,BART,Good,,No,,Yes,Business,Very Good,Very Good,Good,Good,,,,Good,Good,Good,Yes,Yes,Good,2 Trips,83.33333333,67.94383049,,25.78623395,12.14062702
906,C,1,English,Female,San Francisco,US,San Francisco,Fair,Poor,Fair,Fair,,,,Good,,,,,Fair,Shared Ride Van,Very Good,,No,,No,Visiting Friends and Relatives,Good,Good,Good,Good,,,,Good,Good,Good,Yes,Yes,Good,3+ Trips,61.11111111,74.35236141,No,17.69642463,43.22129429
1019,B,1,English,Female,Monterey,US,,Very Good,Fair,Good,Good,Very Good,Very Good,Very Good,Very Good,,,,,Good,Private Car,,Curb Drop,No,,No,Vacation,Very Good,Good,Very Good,Very Good,,,,Good,Good,Good,Yes,Yes,Good,1 Trip,86.36363636,87.58835127,No,25.80876125,49.0078123
922,B,1,English,Male,San Francisco,US,San Francisco,Very Good,Very Good,,Good,,,Very Good,Very Good,Good,Good,,Fair,,Private Car,,Curb Drop,Yes,No,No,Business,Good,Very Good,Good,Very Good,,,Good,Good,Good,Good,Yes,Yes,Good,3+ Trips,85,86.33563644,No,63.80884893,17.58982161
622,C,1,English,Male,Athens,Greece,,Good,Poor,Good,Good,Very Poor,Good,Very Good,,,Good,,,Fair,Shared Ride Van,Very Good,,No,,Yes,Visiting Friends and Relatives,Very Good,Very Good,Very Good,Good,,,,Fair,,Very Good,Yes,Yes,Good,3+ Trips,70.83333333,62.99663038,,7.173519445,4.253195949
171,B,1,English,Male,Scotts Valley,US,,Good,Poor,Poor,,,,,Good,,,,,,Private Car,,Curb Drop,No,,No,Vacation,Good,Good,Fair,Fair,,,,,Fair,Very Good,Yes,Yes,Good,3+ Trips,58.33333333,57.06619285,No,0,46.98227487
33,C,1,English,Female,Oakland,US,Alameda,Good,Good,,Very Good,,,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Good,Private Car,,Curb Drop,Yes,No,No,Business,Very Good,Very Good,Very Good,Very Good,,,,,Fair,Very Good,Yes,Yes,Good,3+ Trips,91.66666667,84.09371419,No,53.42171959,38.0501753
413,B,1,English,Female,San Francisco,US,San Francisco,Good,Very Good,Fair,Fair,,,Fair,Good,Fair,,,,,Private Car,,Curb Drop,No,,Yes,Visiting Friends and Relatives,Very Good,Very Good,Fair,Fair,Good,,,Good,Fair,Very Good,Yes,Yes,Good,3+ Trips,72.22222222,63.86197593,No,26.90261496,42.62364025
1230,C,1,English,Female,San Francisco,US,San Francisco,Good,Very Good,Fair,Fair,,,Fair,Good,Fair,,,,,Private Car,,Curb Drop,No,,Yes,Visiting Friends and Relatives,Very Good,Very Good,Fair,Fair,Good,,,Good,Fair,Very Good,Yes,Yes,Good,3+ Trips,72.22222222,43.20530769,,7.034669375,19.09746807
623,C,1,English,Male,San Francisco,US,San Francisco,Fair,Good,Fair,Good,,,Fair,Fair,,Good,Good,,Fair,BART,Fair,,No,,No,Visiting Friends and Relatives,Good,Good,Good,Good,,Good,,Good,Fair,Very Good,Yes,Yes,Good,3+ Trips,62.5,66.0760412,No,12.49787023,23.72109401
108,C,1,English,Female,San Francisco,US,San Francisco,Good,Very Good,Fair,Good,,,Good,Good,Fair,,,,,Private Car,,Curb Drop,No,,No,Conference/Convention,Very Good,Very Good,Good,Good,Fair,,,,Good,Very Good,Yes,Yes,Good,2 Trips,77.77777778,84.98600083,No,6.934832025,0
944,B,1,English,Female,Santa Rosa,US,Sonoma,Fair,Poor,Very Poor,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,,Very Poor,Private Car,,Domestic Hourly,No,,No,Vacation,Very Good,Very Good,Good,Good,Good,,,,Good,Very Good,Yes,Yes,Good,3+ Trips,76.78571429,70.75748824,No,14.54249946,33.28683946
1397,B,1,English,Male,Seattle,US,,Good,,,Very Good,,,Fair,Good,,Good,,Very Good,Good,Rental Car Center,Good,,No,,Yes,Vacation,Good,Good,Good,Good,,Very Good,Very Good,,Good,Very Good,Yes,Yes,Good,0 Trips,77.5,86.59107011,No,7.503038589,38.96598135
724,B,1,English,Female,Los Angeles,US,,Fair,Fair,Good,Good,,,,Fair,,,,,Fair,Connecting flight,,,,,Yes,Visiting Friends and Relatives,Very Good,,Good,Good,,,,Good,Good,Very Good,Yes,Yes,Good,0 Trips,64.28571429,83.73670112,No,27.23140002,46.59809622
1081,B,1,English,Male,Houston,US,,Good,Fair,Fair,,,,,Good,,,,,Fair,Shared Ride Van,Very Good,,No,,No,Vacation,Very Good,Very Good,Good,Good,,,,Good,Good,Very Good,Yes,Yes,Good,1 Trip,75,70.58490982,No,17.61682408,15.01825063
1382,B,1,English,Female,San Jose,US,Santa Clara,Good,,Fair,Fair,,,Very Good,Very Good,,Good,Good,,,Private Car,,Curb Drop,No,,No,Vacation,Very Good,Very Good,Very Good,Very Good,,,,Good,Good,Very Good,Yes,Yes,Good,3+ Trips,80.55555556,76.19305072,No,0,23.46774902
1017,B,1,English,Female,San Francisco,US,San Francisco,Good,,,Good,,,,Very Poor,,,,,Fair,Shared Ride Van,Very Good,,No,,No,Wedding/Funeral,Poor,Good,Very Good,Very Good,,,,Good,Good,Very Good,Yes,Yes,Good,3+ Trips,57.14285714,96.37482116,No,19.3721762,13.18015619
301,C,1,English,Female,Fairfield,US,Solano,Fair,Fair,Fair,,,,Good,,Poor,Good,,,Fair,BART,Good,,No,,No,Vacation,Good,Good,Good,Good,,Good,,Good,Good,Very Good,Yes,Yes,Good,2 Trips,60,88.13528324,No,16.29290915,67.76389715
629,C,1,English,Female,Dayton,US,,Good,Very Good,Fair,Good,,,Fair,Good,,,,,Fair,Taxi,Fair,,Yes,No,No,Conference/Convention,Good,Good,Good,Good,,,,Fair,Poor,Very Good,Yes,Yes,Good,1 Trip,67.5,52.21645584,No,0,16.52947972
550,B,1,English,Male,Las Vegas,US,,Good,Very Good,Fair,Good,,Fair,,Good,,,,,,Taxi,Good,,No,,No,Business,Very Good,Good,Good,Good,,,,Fair,Poor,Very Good,Yes,Yes,Good,3+ Trips,75,60.48148646,,24.20932661,0
742,C,1,English,Female,Mill Valley,US,Marin,Fair,Good,Fair,Fair,Good,,Good,Very Poor,Good,,Fair,,Poor,Private Car,,Airport Long Term Parking,No,,No,Business,Good,Fair,Good,Good,,,,,,Poor,No,,,3+ Trips,54.16666667,85.83843428,No,57.54371653,8.081784314
809,C,1,English,Male,South San Francisco,US,San Mateo,Fair,Fair,Fair,,,,,Fair,,,,,,Private Car,,Curb Drop,Yes,No,No,Vacation,Very Good,Very Good,Fair,Fair,,,,,Fair,Poor,No,,,3+ Trips,66.66666667,42.45679452,No,17.70856676,31.27593029
611,B,1,English,Female,San Francisco,US,San Francisco,Good,Fair,Fair,Fair,,Fair,Poor,Fair,Poor,Good,Good,,Fair,Private Car,,Curb Drop,Yes,Yes,No,Vacation,Good,Fair,Good,Good,,Very Good,,Fair,Fair,Poor,Yes,No,,3+ Trips,53.84615385,80.71163631,No,0,28.57666264
1396,B,1,English,Male,Ft Collins,US,,Fair,Good,Good,Good,,,Fair,Very Good,,,,,Fair,Private Car,,Curb Drop,No,,Yes,Vacation,Very Good,Fair,Good,Good,,,,Fair,Good,Poor,Yes,No,,3+ Trips,69.44444444,65.40052391,No,1.864412164,27.72471846
1221,C,1,English,Female,New York City,US,,Good,Fair,Fair,Good,,,,,,,,,,Hotel Shuttle,Very Good,,No,,No,Vacation,Very Good,Very Good,Good,Fair,,,,,,Fair,No,,,0 Trips,78.57142857,54.80762499,No,23.42513794,34.41114712
1067,B,1,English,Female,East Peoria,US,,Fair,Good,Fair,Fair,Fair,Fair,Fair,Fair,,,,,Fair,Private Car,,Curb Drop,Yes,No,No,Business,Good,Very Poor,Fair,Good,,,,,,Fair,No,,,3+ Trips,50,80.67285776,No,16.49958114,19.39503306
808,C,1,English,,Las Vegas,US,,Good,,Good,Fair,,,Fair,Fair,,,,,,BART,Very Good,,No,,No,Vacation,Very Good,Very Good,Very Good,Very Good,,,,,,Fair,No,,,3+ Trips,75,98.60603503,No,23.87196788,26.43003106
311,C,1,English,Male,Edenivlle,US,,Very Good,Very Good,,Very Good,,,Good,Good,,,,,,Private Car,,Curb Drop,Yes,Yes,No,Vacation,Good,Good,Very Good,Very Good,,,,,,Fair,No,,,2 Trips,85.71428571,95.29844768,No,20.56402784,9.24073907
176,B,1,English,Male,,United Kingdom,,Good,,,,,,,Good,,,,,Fair,Shared Ride Van,Very Good,,No,,No,Vacation,Fair,Fair,Fair,Fair,Fair,,,,,Fair,No,,,0 Trips,66.66666667,34.6524697,No,0,24.5313048
459,C,1,English,Male,Alameda,US,Alameda,Fair,Fair,,Fair,Good,,Very Good,Very Good,Very Poor,,,,Fair,Taxi,Good,,No,,Yes,School,Fair,Fair,Poor,Poor,Fair,,,,,Fair,Yes,No,,3+ Trips,59.09090909,34.71287995,,14.99240909,15.69858489
314,C,1,English,Female,Cloppenburg,Germany,,Fair,Good,Poor,Fair,Very Good,Fair,Very Good,Very Good,,Good,,,,BART,Very Good,,No,,Yes,Vacation,Very Good,Very Good,Fair,Fair,,Poor,,,,Fair,No,,,1 Trip,77.08333333,30.83587681,No,22.33771504,13.94328219
545,B,1,English,Male,Dubai,UAE,,Fair,,Fair,Fair,,,Good,Good,,,,,Very Poor,Private Car,,Curb Drop,No,,Yes,Business,Very Good,Very Good,Fair,Fair,,,,Fair,,Fair,No,,,1 Trip,62.5,65.36228572,No,41.76073101,30.00275493
942,B,1,English,Male,Orange,US,,Fair,Fair,Good,Good,Good,Good,Fair,Poor,,,,,,Taxi,Very Good,,No,,No,Business,Fair,Fair,Fair,Fair,,,,Fair,Fair,Fair,Yes,No,,3+ Trips,61.36363636,34.79826865,,29.20578082,25.96544498
88,C,1,English,Female,Brasilia,Brazil,,Poor,Fair,Fair,Poor,,,Good,Good,Very Good,Fair,,,,Private Car,,Curb Drop,Yes,No,No,Moving,Fair,Very Poor,Fair,Fair,,Good,,,Good,Fair,No,,,3+ Trips,50,60.86836158,No,21.91129025,31.38961002
737,C,1,English,Male,Honolulu,US,,Good,Fair,Fair,Fair,Fair,,,Fair,Poor,,Fair,,Fair,Private Car,,Curb Drop,No,,No,Vacation,Fair,Fair,Fair,Fair,,,,Fair,Poor,Fair,Yes,No,,3+ Trips,50,36.4053022,,5.673955448,35.88274524
612,B,1,English,Male,Edmunds,US,,Poor,Fair,Poor,Fair,Fair,,,Poor,,,,,,Limousine,Very Good,,No,,No,Business,Fair,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Fair,No,,,3+ Trips,47.22222222,32.98182432,No,9.821504398,37.38566658
313,C,1,English,Female,Cloppenburg,Germany,,Fair,Fair,,Fair,Good,Fair,Good,Good,,Good,,,,BART,Very Good,,No,,No,Business,Very Good,Very Good,Very Good,,,,,,,Good,No,,,1 Trip,72.72727273,87.60496346,No,53.77042041,5.870842594
752,C,1,English,Female,Seattle,US,,Fair,Fair,,Fair,,,,Fair,,,,,,Private Car,,Curb Drop,No,,No,Business,Very Good,Very Good,Fair,Fair,,,,,,Good,No,,,0 Trips,66.66666667,52.50364435,,25.42299609,11.02578752
620,B,1,English,Male,Burlingame,US,San Mateo,Good,Good,,Good,,,Fair,Good,,,,,,Private Car,,Curb Drop,No,,No,Visiting Friends and Relatives,Good,Fair,Fair,Fair,,,,,,Good,Yes,No,,3+ Trips,67.85714286,50.4479,No,16.30287282,46.24924395
174,B,1,English,Male,Sacramento,US,,Fair,,Fair,,,,,Good,,,,,Fair,Private Car,,Curb Drop,No,,No,Vacation,Fair,Fair,Fair,Fair,,,,,,Good,Yes,No,,0 Trips,54.16666667,44.55927115,No,3.643934775,16.16630694
1394,B,1,English,Male,Anchorage,US,,Poor,,,,,,,Fair,,,,,,Connecting flight,,,,,No,Vacation,Fair,Fair,Fair,Fair,,,,,,Good,No,,,1 Trip,43.75,37.30164598,No,11.26986322,62.72903711
269,B,1,English,Female,Edgewood,US,,Very Good,Poor,Fair,Good,,,Fair,Good,,,,,Poor,Hotel Shuttle,Fair,,No,,No,Moving,,,Fair,Fair,,,,,,Good,No,,,0 Trips,56.25,47.66093543,No,20.50465497,27.18443574
298,C,1,English,Female,Cincinnati,US,,Very Good,,,,,,Good,Good,,,,,,BART,Good,,Yes,Yes,No,School,Good,Good,Fair,Fair,,,,,,Good,No,,,3+ Trips,79.16666667,34.88140623,No,9.18852037,25.09925408
309,C,1,English,Female,Boston,US,,Good,Very Poor,,,,,,Very Good,,,,,,Private Car,,Curb Drop,No,,No,School,Fair,Fair,Good,Good,,,,,,Good,No,,,2 Trips,55,67.55527955,No,28.04771514,9.171993117
310,C,1,English,Female,Mininapolis,US,,Fair,,,,,,,,Good,,,,,Private Car,,Curb Drop,Yes,Yes,No,Business,Good,Good,Good,Good,,,,,,Good,No,,,3+ Trips,68.75,81.71398936,No,28.66940216,22.47557857
1118,B,1,English,Male,San Francisco,US,San Francisco,Fair,Good,Fair,Good,,,,Good,,,,,,Shared Ride Van,Fair,,No,,No,Vacation,Very Good,Good,Good,Good,,,,,,Good,No,,,3+ Trips,68.75,75.03229813,No,23.6179669,56.86602809
36,C,1,English,Male,Atlanta,US,,Good,,,Good,,,Good,Very Good,,Very Good,,Very Good,Good,Rental Car Center,Very Good,,,,No,School,Very Good,Very Good,Good,Good,,,,,,Good,No,,,1 Trip,90,75.09247556,No,32.03374727,10.50239097
1383,B,1,English,Female,Seattle,US,,Good,,Fair,Good,,,,Good,,,,,Fair,Taxi,Good,,No,,No,Vacation,Very Good,Good,Good,Good,,,,,,Good,No,,,2 Trips,71.875,76.884958,No,1.228089064,25.62002566
186,B,1,English,Female,Santa Rosa,US,Sonoma,Good,,,,,,,,,,,,,Private Car,,Curb Drop,No,,No,Business,Good,Good,Very Good,Very Good,,,,,,Good,,,,2 Trips,75,96.05671456,No,33.13821502,16.43354351
192,B,1,English,,Prescan,US,,Very Good,Fair,Fair,,,,Fair,Fair,,,,,,Private Car,,,,,,Visiting Friends and Relatives,Fair,Fair,Very Good,Very Good,,,,,,Good,No,,,0 Trips,57.14285714,100,No,8.203702893,25.58730522
305,C,1,English,Female,Seattle,US,,Very Good,Good,Good,Good,,,Good,Good,,,,,,Private Car,,Curb Drop,No,,No,Wedding/Funeral,Fair,Fair,Very Good,Very Good,,,,,,Good,No,,,0 Trips,71.875,92.30069139,No,27.58688622,0
1109,B,1,English,Male,Chandler,US,,Very Good,,,Very Good,,,,Very Good,,,,,,Private Car,,Curb Drop,No,,No,Vacation,Very Good,Very Good,Very Good,Very Good,,,,,,Good,No,,,2 Trips,100,100,No,0,31.78760935
658,C,1,English,Female,St. Louis,US,,Good,,,Very Good,,,,Very Good,,,,,,Limousine,Very Good,,Yes,No,No,Visiting Friends and Relatives,Very Good,Very Good,Very Good,Very Good,,,,,,Good,No,,,1 Trip,95.83333333,100,No,26.17997845,44.5866618
1390,B,1,English,Female,Centennial,US,,Good,,,Good,,,,Good,,,,,,BART,Very Good,,No,,No,Visiting Friends and Relatives,Very Good,Good,Fair,Fair,,Very Good,,,,Good,No,,,1 Trip,83.33333333,66.57468397,No,16.83510574,6.689238136
1236,C,1,English,Male,Redding,US,,Good,,,,,,Good,Good,,Good,,Good,,Rental Car Center,Good,,No,,No,Vacation,Very Good,Poor,Good,Good,,Very Good,Very Good,,,Good,No,,,1 Trip,71.875,97.31567221,No,0,59.23614564
